plot_id,tree_no,tree_id,species_vernacular_name,tree_girth,tree_dbh,tree_ba,tree_height_top,species_id,common_name,species_scientific_name,tree_height_model,tree_height_error,tree_height_sim
PMT01,1,PMT01_01,Ai Sisi,115,36.62420382,0.1074665,12,28,NA,NA,17.366812852370526,1.0209584583961775,17.730794477011134
PMT01,2,PMT01_02,Ai Karau Hasan,114,36.30573248,0.101736,7.5,12,NA,NA,17.28880727058329,0.6603377832839622,11.41645266868062
PMT01,3,PMT01_03,Ai Karau Hasan,121,38.53503185,0.1074665,10,12,NA,NA,17.82626510624683,0.8033928064299082,14.321493151871186
PMT01,4,PMT01_04,Ai Karau Hasan,123,39.17197452,0.101736,7,12,NA,NA,17.976267286205804,1.2335809707522911,22.175181249420408
PMT01,5,PMT01_05,Ai Sisi,120,38.21656051,0.1074665,13,28,NA,NA,17.750685826636584,1.1574253767746818,20.545094230903853
PMT01,6,PMT01_06,Ai Karau Hasan,104,33.12101911,0.101736,5,12,NA,NA,16.48454698377333,0.6412177385129101,10.570183937344948
PMT02,1,PMT02_01,Ai sukaer,100,31.84713376,0.08042496,10,30,Tamarind tree,Tamarindus indica,15.982835267505765,1.1916483059276122,19.045918570443337
PMT02,2,PMT02_02,Ai sukaer,169,53.82165605,0.22902264,10,30,Tamarind tree,Tamarindus indica,20.85211827650242,0.7837366265318534,16.342568834069212
PMT02,3,PMT02_03,Ai dak,166,52.86624204,0.22061886,8,6,Makasar oil tree,Schleichera oleosa,20.67006779944036,0.7017326505694755,14.50486146435205
PMT02,4,PMT02_04,Ai dak,115,36.62420382,0.10752126,10,6,Makasar oil tree,Schleichera oleosa,17.187426474157363,1.548150552506324,26.60872379212854
PMT02,5,PMT02_05,Ai dak,97,30.89171975,0.07547694,7,6,Makasar oil tree,Schleichera oleosa,15.728953935134383,1.0114906236984873,15.909689425973854
PMT03,1,PMT03_01,Ai Teka,101,32.1656051,0.08042496,12,34,Teak tree,Tectona grandis,16.06643769461446,0.6616124795587585,10.629755680810176
PMT03,2,PMT03_02,Ai Teka,113,35.98726115,0.10178784,10,34,Teak tree,Tectona grandis,17.03260843893186,1.22396282005345,20.84727945778123
PMT03,3,PMT03_03,Ai Teka,107,34.07643312,0.091200907,15,34,Teak tree,Tectona grandis,16.55779845043289,0.684485592970491,11.333574490630435
PMT03,4,PMT03_04,Ai Teka,97,30.89171975,0.074950592,12,34,Teak tree,Tectona grandis,15.728953935134383,0.9108616678372461,14.32690121469172
PMT03,5,PMT03_05,Ai Teka,98,31.21019108,0.076503931,18,34,Teak tree,Tectona grandis,15.81410099980674,1.2688117403544847,20.065117011706388
PMT04,1,PMT04_01,Ai Teka,120,38.21656051,0.114708102,11,34,Teak tree,Tectona grandis,17.750685826636584,0.9193859854762892,16.319731781602275
PMT04,2,PMT04_02,Ai Teka,105,33.43949045,0.08782339,9,34,Teak tree,Tectona grandis,16.567044088673832,1.5129598603366854,25.06527271059167
PMT04,3,PMT04_03,Ai Teka,100,31.84713376,0.079658404,11.5,34,Teak tree,Tectona grandis,16.149649242624516,1.4648312698787387,23.65651120816988
PMT05,1,PMT05_01,Ai Teka,96,30.57324841,0.073413185,11,34,Teak tree,Tectona grandis,15.806546423122434,0.8144356800452727,12.873415385282891
PMT05,2,PMT05_02,Ai Teka,133,42.3566879,0.140907751,9,34,Teak tree,Tectona grandis,18.7043091736747,1.143709001891928,21.392286776101525
PMT05,3,PMT05_03,Ai Teka,114,36.30573248,0.103524062,11.5,34,Teak tree,Tectona grandis,17.28880727058329,1.0833733326772932,18.730232750747238
PMT06,1,PMT06_01,Ai Sukaer,220,70.06369427,0.385546675,4,NA,NA,NA,23.913191979125838,0.8936886897840884,21.370949208380342
PMT06,2,PMT06_02,Ai Fulis,145,46.17834395,0.167481794,5,8,NA,NA,19.53381762813306,0.9742385972814697,19.0305990855844
PMT06,3,PMT06_03,Ai Kijon (Ai Bubur Fuik),110,35.03184713,0.096386669,3,13,NA,NA,16.972501762505257,1.0167133598663098,17.256169292293585
PMT06,4,PMT06_04,Ai Na'a,135,42.99363057,0.145177441,5,24,Rosewood,Pterocarpus indices,18.845756042603654,0.9281487644754618,17.49166518654855
PSL01,1,PSL01_01,Ai-ruu,119,37.89808917,0.11341176,7,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.255016761220794,0.7801613122124557,17.36250307974421
PSL01,2,PSL01_02,Ai-ruu,149,47.4522293,0.17349486,3.5,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,24.93179928997346,1.4273152244968788,35.58553670067959
PSL01,3,PSL01_03,Ai-ruu,109,34.7133758,0.17349486,2.5,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,21.2698764217963,1.2553304856859242,26.70072429905314
PSL01,4,PSL01_04,Ai-ruu,137,43.63057325,0.11341176,2,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,23.905972610471526,1.2869065046215502,30.764751651720427
PSL01,5,PSL01_05,Ai-ruu,102,32.48407643,0.17349486,2,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,20.546835530668247,0.6938299331104759,14.2560095218755
PSL01,6,PSL01_06,Ai-ruu,158,50.31847134,0.11341176,3,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,25.667026103806243,0.9912927777761346,25.443537603694647
PSL01,7,PSL01_07,Ai-Samtutu,135,42.99363057,0.17349486,7,43,White siris,Albizia procera,23.729526785457203,0.9531457206113224,22.617696907690284
PSL01,8,PSL01_08,Ai-ruu,122,38.85350318,0.11341176,2,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.5405184557709,1.0856482023321108,24.471073341141445
PSL01,9,PSL01_09,Ai-ruu,115,36.62420382,0.17349486,2,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,21.86732385937295,1.0694411479422787,23.385815930593388
PSL01,10,PSL01_010,Ai-ruu,122,38.85350318,0.118563569,2,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.5405184557709,0.9990367881453431,22.518807161184192
PSL01,11,PSL01_011,Samtuku,135,42.99363057,0.145177441,7,73,White siris,Albezia procera,23.729526785457203,0.9663078539309325,22.93002810285173
PSL01,12,PSL01_012,Samtuku,141,44.9044586,0.158368873,5,73,White siris,Albezia procera,24.254038441361935,1.4586388515860773,35.37788277843274
PSL01,13,PSL01_013,Ai-ruu,125,39.8089172,0.124466256,6,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.821686809797708,1.0992756452372792,25.08732449324348
PSL01,14,PSL01_014,Ai-ruu,130,41.40127389,0.134622703,7,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,23.281084316705165,0.8696991511549882,20.24753926820619
PSL02,1,PSL02_01,Samtuku,107,34.07643312,0.091200907,8,73,White siris,Albezia procera,20.917718134772134,1.1679345522290072,24.430525763387678
PSL02,2,PSL02_02,Samtuku,107,34.07643312,0.091200907,10,73,White siris,Albezia procera,20.917718134772134,1.0844379024305095,22.683966377704923
PSL02,3,PSL02_03,Samtuku,131,41.71974522,0.136701787,10,73,White siris,Albezia procera,23.206835226627096,1.0935089131988853,25.376881167454602
PSL02,4,PSL02_04,Ai-ruu,97,30.89171975,0.074950592,10,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,19.870626276487513,0.8235271725926363,16.364000675120707
PSL02,5,PSL02_05,Ai-ruu,100,31.84713376,0.079658404,8,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,20.191358417666954,1.3176402528522384,26.60494661088486
PSL02,6,PSL02_06,Ai-ruu,98,31.21019108,0.076503931,6,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,19.978193855846047,0.9649881446962507,19.27872022333491
PSL02,7,PSL02_07,Ai-ruu,131,41.71974522,0.136701787,13,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,23.206835226627096,0.6377537742455801,14.800246754076712
PSL02,8,PSL02_08,Samtuku,96,30.57324841,0.073413185,5,73,White siris,Albezia procera,19.762388605468555,0.7308710812217267,14.443758327602735
PSL02,9,PSL02_09,Ai-ruu,121,38.53503185,0.116627869,6,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.287574336821045,1.2187763661654414,27.1635688608729
PSL02,10,PSL02_010,Ai-ruu,119,37.89808917,0.112804266,6,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.098096043932593,0.8370523801156409,18.497263889597804
PSL02,11,PSL02_011,Samtuku,97,30.89171975,0.074950592,6,73,White siris,Albezia procera,19.870626276487513,1.0416807312688499,20.698848510461538
PSL02,12,PSL02_012,Ai-ruu,99,31.52866242,0.078073202,7,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,20.085101325848342,1.022132317746358,20.529631170359814
PSL03,1,PSL03_01,Ai-ruu,130,41.40127389,0.134622703,5,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,23.116928769692038,0.6066281311316468,14.02337929706168
PSL03,2,PSL03_02,Ai-ruu,106,33.75796178,0.089504183,4,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,20.815759754272662,1.0632861352901555,22.133108742248936
PSL03,3,PSL03_03,Ai-ruu,118,37.57961783,0.110916362,3,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.002615970122957,0.7986552119464801,17.57250392099556
PSL03,4,PSL03_04,Ai-ruu,112,35.66878981,0.099923502,4,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,21.418961118889538,1.2527559695765143,26.832731403816123
PSL03,5,PSL03_05,Ai-ruu,269,85.66878981,0.576416177,3,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,32.82303311537338,0.9285400941286022,30.477502258535022
PSL03,6,PSL03_06,Ai-ruu,125,39.8089172,0.124466256,7,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.66077048686955,0.7861531294058023,17.81483563299914
PSL03,7,PSL03_07,Ai-ruu,140,44.58598726,0.156130472,3,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,23.997207902345746,1.1938921045363369,28.650077045527578
PSL03,8,PSL03_08,Samtuku,97,30.89171975,0.074950592,4,73,White siris,Albezia procera,19.870626276487513,1.6619553130810965,33.02409291445727
PSL03,9,PSL03_09,Ai-ruu,211,67.19745223,0.35464718,5,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,29.31361986817806,0.8964933460042652,26.279465159120054
PSL03,10,PSL03_010,Samtuku,95,30.25477707,0.07189171,4,73,White siris,Albezia procera,19.65347062118556,1.1465233732653657,22.533163432973428
PSL03,11,PSL03_011,Ai-ruu,100,31.84713376,0.079658404,5,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,20.191358417666954,1.238899327258863,25.01506036009017
PSL03,12,PSL03_012,Ai-ruu,99,31.52866242,0.078073202,6,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,20.085101325848342,1.5990317358253865,32.11671443730005
PSL03,13,PSL03_013,Samtuku,99,31.52866242,0.078073202,5,73,White siris,Albezia procera,20.085101325848342,1.4323866410017927,28.76963082231256
PSL03,14,PSL03_014,Ai-ruu,125,39.8089172,0.124466256,3,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.66077048686955,1.1462717772127224,25.97540165899357
PSL03,15,PSL03_015,Ai-ruu,130,41.40127389,0.134622703,5,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,23.116928769692038,0.6410618088132828,14.819380171306593
